code,topic,title,url
SNT-13,"Everyday physics and chemistry; robotics, drones and sensors",Wikipedia: Unmanned aerial vehicle,https://en.wikipedia.org/wiki/Unmanned_aerial_vehicle
SNT-14,"S&T policy, institutions, IPR, missions and awards",DST: Dept of Science & Technology,https://dst.gov.in/
SNT-15,"Diversity of life — microbes, fungi, plant and animal groups, behaviour and world fauna",Wikipedia: Biological classification,https://en.wikipedia.org/wiki/Biological_classification
SNT-16,"Armed forces organisation — services, ranks, commands, CDS and named operations",Wikipedia: Chief of Defence Staff (India),https://en.wikipedia.org/wiki/Chief_of_Defence_Staff_(India)
SNT-16,"Armed forces organisation — services, ranks, commands, CDS and named operations",Wikipedia: Indian Armed Forces,https://en.wikipedia.org/wiki/Indian_Armed_Forces
CAI-01,"India's neighbourhood — Pakistan, China, Nepal, Bhutan, Bangladesh, Sri Lanka, Myanmar, Afghanistan, Maldives",Wikipedia: Foreign relations of India,https://en.wikipedia.org/wiki/Foreign_relations_of_India
CAI-02,"India and the major powers — US, Russia, EU, Japan",Wikipedia: India–Russia relations,https://en.wikipedia.org/wiki/India%E2%80%93Russia_relations
CAI-02,"India and the major powers — US, Russia, EU, Japan",Wikipedia: India–United States relations,https://en.wikipedia.org/wiki/India%E2%80%93United_States_relations
CAI-03,"India and the regions — West Asia, Africa, Latin America, Central Asia",Wikipedia: Africa–India relations,https://en.wikipedia.org/wiki/Africa%E2%80%93India_relations
CAI-04,"Multilateral groupings — UN, G20, BRICS, SCO, QUAD, I2U2",Wikipedia: BRICS,https://en.wikipedia.org/wiki/BRICS
CAI-04,"Multilateral groupings — UN, G20, BRICS, SCO, QUAD, I2U2",Wikipedia: Quadrilateral Security Dialogue,https://en.wikipedia.org/wiki/Quadrilateral_Security_Dialogue
CAI-05,"Regional groupings — SAARC, BIMSTEC, IORA, ASEAN",Wikipedia: BIMSTEC,https://en.wikipedia.org/wiki/BIMSTEC
CAI-05,"Regional groupings — SAARC, BIMSTEC, IORA, ASEAN",Wikipedia: SAARC,https://en.wikipedia.org/wiki/South_Asian_Association_for_Regional_Cooperation
CAI-06,"Economic diplomacy — FTAs, WTO, connectivity projects",Wikipedia: Free trade agreements of India,https://en.wikipedia.org/wiki/Free_trade_agreements_of_India
CAI-06,"Economic diplomacy — FTAs, WTO, connectivity projects",Wikipedia: World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
CAI-07,"Global governance — treaties, conventions, international courts",Wikipedia: International Court of Justice,https://en.wikipedia.org/wiki/International_Court_of_Justice
CAI-08,Reports and indices,Wikipedia: List of international rankings,https://en.wikipedia.org/wiki/List_of_international_rankings
CAI-09,"Awards, sports, personalities and books",Wikipedia: Bharat Ratna,https://en.wikipedia.org/wiki/Bharat_Ratna
CAI-10,Government schemes tracker,Wikipedia: Schemes of the government of India,https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India
CAI-10,Government schemes tracker,myScheme: Government schemes portal,https://www.myscheme.gov.in/
CAI-11,"International organisations — UN agencies, funds and programmes; non-UN bodies (IUCN, WEF, ICRC)",Wikipedia: IUCN,https://en.wikipedia.org/wiki/International_Union_for_Conservation_of_Nature
CAI-11,"International organisations — UN agencies, funds and programmes; non-UN bodies (IUCN, WEF, ICRC)",Wikipedia: UN specialized agencies,https://en.wikipedia.org/wiki/List_of_United_Nations_organizations
CSA-01,Comprehension — passage strategy and elimination under time,Wikipedia: Reading comprehension,https://en.wikipedia.org/wiki/Reading_comprehension
CSA-02,Logical reasoning and analytical ability,Wikipedia: Logical reasoning,https://en.wikipedia.org/wiki/Logical_reasoning
CSA-03,"Basic numeracy — numbers, ratio, percentage, time-work, time-distance",Wikipedia: Percentage,https://en.wikipedia.org/wiki/Percentage
CSA-03,"Basic numeracy — numbers, ratio, percentage, time-work, time-distance",Wikipedia: Ratio,https://en.wikipedia.org/wiki/Ratio
CSA-04,"Data interpretation — charts, tables, data sufficiency",Wikipedia: Data and information visualization,https://en.wikipedia.org/wiki/Data_and_information_visualization
CSA-05,Decision making and problem solving,Wikipedia: Decision-making,https://en.wikipedia.org/wiki/Decision-making
CSA-06,Full CSAT papers under time,Wikipedia: Civil Services Examination (India),https://en.wikipedia.org/wiki/Civil_Services_Examination_(India)
SOC-01,"Sociology as a discipline — emergence, scope, relation with other social sciences",Wikipedia: Sociology,https://en.wikipedia.org/wiki/Sociology
SOC-02,"Sociology and common sense; science, scientific method and its critique",Wikipedia: Positivism,https://en.wikipedia.org/wiki/Positivism
SOC-02,"Sociology and common sense; science, scientific method and its critique",Wikipedia: Scientific method,https://en.wikipedia.org/wiki/Scientific_method
SOC-03,"Research methods — techniques, positivism and its critique, objectivity",Wikipedia: Positivism,https://en.wikipedia.org/wiki/Positivism
SOC-04,"Karl Marx — historical materialism, mode of production, alienation, class struggle",Wikipedia: Karl Marx,https://en.wikipedia.org/wiki/Karl_Marx
SOC-05,"Emile Durkheim — division of labour, social fact, suicide, religion",Wikipedia: Emile Durkheim,https://en.wikipedia.org/wiki/%C3%89mile_Durkheim
SOC-06,"Max Weber — social action, ideal types, authority, bureaucracy, Protestant ethic",Wikipedia: Max Weber,https://en.wikipedia.org/wiki/Max_Weber
SOC-07,"Talcott Parsons — social system, pattern variables",Wikipedia: Talcott Parsons,https://en.wikipedia.org/wiki/Talcott_Parsons
SOC-08,"Robert Merton — latent and manifest functions, deviance, reference groups",Wikipedia: Robert K. Merton,https://en.wikipedia.org/wiki/Robert_K._Merton
SOC-09,Mead — self and identity; symbolic interactionism,Wikipedia: George Herbert Mead,https://en.wikipedia.org/wiki/George_Herbert_Mead
SOC-09,Mead — self and identity; symbolic interactionism,Wikipedia: Symbolic interactionism,https://en.wikipedia.org/wiki/Symbolic_interactionism
SOC-10,"Social stratification — theories, dimensions, mobility",Wikipedia: Social stratification,https://en.wikipedia.org/wiki/Social_stratification
SOC-11,"Works and economic life — social organisation of work, informal sector",Wikipedia: Informal economy,https://en.wikipedia.org/wiki/Informal_economy
SOC-12,"Politics and society — power, authority, nation-state, protest, revolution",Wikipedia: Political sociology,https://en.wikipedia.org/wiki/Political_sociology
SOC-13,"Religion and society — types, secularisation, fundamentalism",Wikipedia: Sociology of religion,https://en.wikipedia.org/wiki/Sociology_of_religion
SOC-14,"Kinship, family, marriage; patriarchy and the sexual division of labour",Wikipedia: Kinship,https://en.wikipedia.org/wiki/Kinship
SOC-15,"Social change — evolution, functionalist and conflict theories, development and dependency",Wikipedia: Social change,https://en.wikipedia.org/wiki/Social_change
SOC-16,"Introducing Indian society — Indology, structural-functionalism, Marxist sociology",Wikipedia: G. S. Ghurye,https://en.wikipedia.org/wiki/G._S._Ghurye
SOC-16,"Introducing Indian society — Indology, structural-functionalism, Marxist sociology",Wikipedia: Indology,https://en.wikipedia.org/wiki/Indology
SOC-17,"Social structure — rural, agrarian, industrial, urban and tribal communities",Wikipedia: Rural sociology,https://en.wikipedia.org/wiki/Rural_sociology
SOC-18,"Caste system — Ghurye, Srinivas, Dumont, Bailey; varna and caste; mobility",Wikipedia: Caste system in India,https://en.wikipedia.org/wiki/Caste_system_in_India
SOC-18,"Caste system — Ghurye, Srinivas, Dumont, Bailey; varna and caste; mobility",Wikipedia: M. N. Srinivas,https://en.wikipedia.org/wiki/M._N._Srinivas
SOC-19,"Class structure — agrarian, industrial, the middle class",Wikipedia: Social class,https://en.wikipedia.org/wiki/Social_class
SOC-20,"Systems of kinship in India — lineage, family, marriage, household, women",Wikipedia: Kinship,https://en.wikipedia.org/wiki/Kinship
SOC-21,Religion and society in India; problems of minorities,Wikipedia: Religion in India,https://en.wikipedia.org/wiki/Religion_in_India
SOC-22,"Visions of social change — Constitution, law, education, politics",Wikipedia: Sanskritisation,https://en.wikipedia.org/wiki/Sanskritisation
SOC-23,"Rural transformation — land reforms, green revolution, agrarian distress",Wikipedia: Green Revolution in India,https://en.wikipedia.org/wiki/Green_Revolution_in_India
SOC-23,"Rural transformation — land reforms, green revolution, agrarian distress",Wikipedia: Land reform in India,https://en.wikipedia.org/wiki/Land_reform_in_India
SOC-24,"Industrialisation and urbanisation — slums, informal sector, migration",Wikipedia: Urbanisation in India,https://en.wikipedia.org/wiki/Urbanisation_in_India
SOC-25,"Politics and society — nation, democracy, citizenship, regionalism, secularisation",Wikipedia: Secularism in India,https://en.wikipedia.org/wiki/Secularism_in_India
SOC-26,"Social movements — peasant, women's, backward classes, environmental, ethnic",Wikipedia: Social movement,https://en.wikipedia.org/wiki/Social_movement
SOC-27,"Population dynamics — population policy, ageing, health",Wikipedia: Demographics of India,https://en.wikipedia.org/wiki/Demographics_of_India
SOC-28,"Challenges of social transformation — displacement, violence, illiteracy, disparities",Wikipedia: Poverty in India,https://en.wikipedia.org/wiki/Poverty_in_India
